ISO3,series,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022
AZE,RL.EST,-0.792612433433533,-0.885929226875305,-0.880020380020142,-0.836160480976105,-0.879176020622253,-0.891145050525665,-0.938726484775543,-0.879532694816589,-0.756260693073273,-0.697012007236481,-0.716544568538666,-0.539356291294098,-0.58492249250412,-0.619800806045532,-0.610428035259247,-0.729642748832703,-0.606765031814575,-0.625552177429199
AZE,RQ.EST,-0.580545425415039,-0.523375689983368,-0.466508984565735,-0.367752313613892,-0.316738784313202,-0.392555356025696,-0.386364638805389,-0.488716810941696,-0.425340503454208,-0.26849365234375,-0.37079980969429,-0.395615547895432,-0.372420430183411,-0.314388334751129,-0.223895654082298,-0.336040139198303,-0.0650539621710777,-0.103344202041626
AZE,VA.EST,-1.12416350841522,-1.27916121482849,-1.23339664936066,-1.32513201236725,-1.25976669788361,-1.30459702014923,-1.30184757709503,-1.29948163032532,-1.40288960933685,-1.47932517528534,-1.55243062973022,-1.56092178821564,-1.563645362854,-1.50814247131348,-1.52860414981842,-1.54086601734161,-1.52737867832184,-1.44162666797638
BDI,CC.EST,-0.957180440425873,-1.10150361061096,-1.16698491573334,-1.08823239803314,-1.13256120681763,-1.16890013217926,-1.20837116241455,-1.46860635280609,-1.42651343345642,-1.26824688911438,-1.28703820705414,-1.27876329421997,-1.31850147247314,-1.47827136516571,-1.49696969985962,-1.56340169906616,-1.59966492652893,-1.51818120479584
BDI,GE.EST,-1.24252092838287,-1.11087679862976,-1.28052830696106,-1.13556611537933,-1.06673920154572,-1.12470984458923,-1.08492064476013,-1.30940592288971,-1.07123398780823,-1.1517721414566,-1.23757755756378,-1.48436272144318,-1.38194644451141,-1.44979333877563,-1.37481689453125,-1.30248296260834,-1.35819256305695,-1.26360619068146
BDI,PV.EST,-1.52337801456451,-1.42777347564697,-1.377925157547,-1.63649833202362,-1.27144265174866,-1.6259593963623,-1.80720043182373,-1.7047381401062,-1.35027754306793,-0.784407138824463,-1.93744611740112,-1.96437513828278,-2.00257515907288,-1.57027816772461,-1.62505626678467,-1.54235208034515,-1.25839936733246,-1.19244623184204
BDI,RL.EST,-1.12846672534943,-0.983238279819489,-1.0786669254303,-1.03810000419617,-1.15993535518646,-1.20540106296539,-1.15380430221558,-1.08392977714539,-1.07663321495056,-0.970566868782043,-1.18589973449707,-1.48439371585846,-1.41100382804871,-1.51381993293762,-1.45362734794617,-1.34065091609955,-1.31259107589722,-1.27654623985291
BDI,RQ.EST,-1.33777546882629,-1.18975520133972,-1.22842490673065,-1.2402960062027,-1.16774964332581,-1.12236869335175,-1.02037370204926,-0.952941536903381,-0.900794625282288,-0.733122706413269,-0.755148112773895,-0.854655146598816,-0.869032144546509,-1.00991177558899,-0.991803586483002,-1.06177186965942,-1.00198709964752,-0.947485685348511
BDI,VA.EST,-0.634234488010406,-0.723143577575684,-0.714045226573944,-0.685290634632111,-0.689463794231415,-0.942692875862122,-0.927631795406342,-0.894518375396729,-0.95320188999176,-1.04275143146515,-1.2720273733139,-1.55564069747925,-1.57598125934601,-1.66952157020569,-1.72382569313049,-1.52661275863647,-1.4070155620575,-1.39635360240936
BEL,CC.EST,1.37716245651245,1.30128657817841,1.34741532802582,1.36263751983643,1.45200526714325,1.47382998466492,1.51992893218994,1.55911040306091,1.60431730747223,1.51272034645081,1.47445356845856,1.53124380111694,1.40419495105743,1.42957329750061,1.44879794120789,1.44580173492432,1.45520210266113,1.49497354030609
BEL,GE.EST,1.70650970935822,1.74316394329071,1.60233938694,1.38118207454681,1.56746017932892,1.65420985221863,1.72347581386566,1.67117416858673,1.70195496082306,1.51735270023346,1.52944529056549,1.39763832092285,1.24078404903412,1.22463178634644,1.11331832408905,1.07823526859283,1.08557260036469,1.22718644142151
