age,gender,A_total,O_total,C_total,E_total,N_total
52,1,30,37,31,29,22
18,2,33,28,33,27,26
26,1,31,31,26,32,26
21,2,30,34,38,29,32
28,1,32,35,37,30,30
30,2,30,29,26,30,36
17,1,35,35,29,26,21
16,1,26,39,34,27,34
23,2,38,37,36,33,42
52,1,30,38,34,33,27
57,1,31,29,27,28,28
26,1,36,29,38,37,33
21,1,34,28,30,28,39
35,2,27,34,32,28,24
32,1,34,37,32,29,23
18,2,28,34,31,30,24
18,2,34,25,37,34,34
21,2,26,28,30,28,36
23,1,24,31,25,22,32
47,2,31,35,26,31,26
24,2,35,35,30,32,34
21,2,29,31,34,30,19
15,1,32,39,36,34,28
56,2,31,32,28,23,35
26,2,30,33,26,32,35
32,2,35,28,30,30,40
24,2,29,36,32,32,28
20,2,39,34,39,31,43
19,2,38,30,30,28,25
19,2,31,36,34,29,33
35,1,37,31,31,33,41
54,1,25,37,37,33,19
20,1,25,31,31,29,24
18,2,27,33,30,22,35
14,2,31,25,37,29,40
18,1,36,35,33,36,40
20,2,30,32,30,31,36
31,2,34,28,30,27,43
16,2,30,25,31,32,36
16,2,26,25,25,26,39
24,1,29,30,33,33,39
42,1,28,36,34,29,17
55,1,34,31,33,30,20
18,3,29,37,34,23,37
22,2,29,34,29,30,37
19,2,30,35,30,33,26
54,1,29,32,30,33,22
29,1,37,34,36,28,20
16,2,23,34,33,30,26
20,2,32,34,32,30,24
56,2,28,30,30,30,41
41,2,35,38,27,30,36
19,2,36,25,27,31,25
38,1,29,30,27,32,29
28,2,35,34,22,31,21
19,2,27,38,32,31,29
18,1,32,33,34,27,36
26,1,34,31,32,30,22
23,1,25,27,30,30,37
18,2,32,35,35,30,40
20,2,30,29,30,30,33
28,1,31,38,31,33,32
38,2,32,29,29,28,32
70,2,32,37,37,30,27
38,1,30,37,33,29,32
16,2,30,35,36,32,35
38,2,34,34,32,29,36
20,1,33,39,36,32,21
24,1,32,29,28,30,34
18,1,33,36,32,33,31
18,2,34,29,29,29,30
39,2,34,36,32,32,31
15,1,30,38,36,26,20
36,1,36,36,26,31,26
33,2,34,37,29,30,31
23,2,31,37,33,34,20
46,2,31,36,31,28,38
30,1,37,32,33,37,32
19,2,31,34,28,30,24
34,1,26,34,37,32,35
27,1,32,36,34,33,25
50,2,36,35,32,28,36
76,1,28,29,31,31,33
59,2,34,36,24,31,31
24,2,29,28,31,29,21
37,1,34,35,33,32,36
44,2,31,27,24,22,31
28,2,38,37,35,31,30
55,2,39,38,35,28,29
20,2,32,30,30,30,33
45,2,32,33,34,29,30
13,2,30,35,37,28,23
16,2,31,31,28,28,32
16,1,30,31,33,27,33
23,2,32,37,23,31,25
16,1,30,37,27,28,30
15,1,27,34,37,33,34
22,1,38,37,33,33,42
20,1,31,37,30,32,21
20,2,35,33,27,28,41
52,2,32,37,31,35,27
22,1,30,31,29,33,39
63,2,28,37,31,26,27
19,2,33,35,25,30,41
23,3,35,34,30,32,40
51,2,32,31,34,30,27
20,2,31,36,32,30,33
16,1,37,38,36,37,36
17,2,35,31,32,27,42
50,2,30,35,30,32,26
65,2,35,38,32,28,27
28,2,34,37,31,32,22
29,2,31,29,27,22,40
55,2,33,37,31,30,26
28,1,31,35,33,30,35
17,1,31,34,32,26,36
24,2,34,33,34,35,24
18,1,28,31,25,30,32
19,2,35,34,29,32,33
23,2,30,31,27,31,24
17,2,34,37,35,34,31
21,2,31,35,24,23,42
22,2,31,32,32,34,42
1994,1,33,35,30,24,40
22,2,37,37,26,29,27
